,ADDRESS,URM_CLASS,UPGRADE_STATUS,PARTIAL_UPGRADE,UPGRADE_DATE,UPGRADE_STANDARD,UPGRADE_PERMIT_NUMBER,UPGRADE_PERMIT_NOTES,YEAR_BUILT,STORY_COUNT,TAX_EXEMPT,NEIGHBORHOOD,LONG_ADDRESS,LONG,LAT
309,2662-2668 NW VAUGHN,3,UNKNOWN,,,,,,1926,1.0,,Northwest District Association,2662-2668 NW VAUGHN PORTLAND OREGON,-122.7062545,45.5364246
310,2304 NW 21ST AVE,3,UNKNOWN,,,,,,1952,1.0,Lease/Purchase Non-Profit or Public Body,Northwest District Association,2304 NW 21ST AVE PORTLAND OREGON,-122.694741,45.539264
311,2355 NW 22ND AV,3,UNKNOWN,,,,,,1943,1.0,,Northwest District Association,2355 NW 22ND AV PORTLAND OREGON,-122.6971972,45.53948889999999
312,1825 NW 23RD AVE,3,UNKNOWN,,,,,,1950,1.0,,Northwest District Association,1825 NW 23RD AVE PORTLAND OREGON,-122.6991301,45.5359079
313,1848 NW 23RD,3,UNKNOWN,,,,,,1954,1.0,,Northwest District Association,1848 NW 23RD PORTLAND OREGON,-122.6986235,45.5357621
314,2425 NW 23RD PL,3,UNKNOWN,,,,,,1950,1.0,,Northwest District Association,2425 NW 23RD PL PORTLAND OREGON,-122.700262,45.54043799999999
315,1830 NW 24TH PL,3,UNKNOWN,,,,,,1912,2.0,,Northwest District Association,1830 NW 24TH PL PORTLAND OREGON,-122.7015486,45.5360775
316,1818-1822 NW 25TH AV,3,FULL,,1997,UBC,97-000248-CO  97-000539-CO,,1948,1.0,,Northwest District Association,1818-1822 NW 25TH AV PORTLAND OREGON,-122.7025498,45.5357815
317,2300 NW NICOLAI ST,3,UNKNOWN,,,,,,1926,1.0,,Northwest District Association,2300 NW NICOLAI ST PORTLAND OREGON,-122.6996019,45.5406704
318,2465 NW RALEIGH ST,3,UNKNOWN,,,,,,1927,3.0,,Northwest District Association,2465 NW RALEIGH ST PORTLAND OREGON,-122.7021771,45.5341899
319,2229 NW SAVER,3,UNKNOWN,,,,,,1927,3.0,,Northwest District Association,2229 NW SAVER PORTLAND OREGON,-122.5782826,45.4853603
320,2403-2407 NW THURMAN ST,3,UNKNOWN,,,,,,1912,1.0,,Northwest District Association,2403-2407 NW THURMAN ST PORTLAND OREGON,-122.7011585,45.535675
321,2121 NW YORK ST,3,UNKNOWN,,,,,,1905,2.0,,Northwest District Association,2121 NW YORK ST PORTLAND OREGON,-122.695482,45.539437
322,2337 NW YORK,3,UNKNOWN,,,,,,1920,2.0,,Northwest District Association,2337 NW YORK PORTLAND OREGON,-122.6996996,45.5393643
323,1415 NW SAVIER ST,3,FULL,,2009,IBC 2006,09-106011-CO   ,Upgrade for change of occupancy.  Full seismic upgrade to 2007 OSSC.,1947,2.0,,Pearl District Neighborhood Association,1415 NW SAVIER ST PORTLAND OREGON,-122.6859157,45.5351521
324,1635 NW 19TH,2,UNKNOWN,,,,,,1889,2.0,"Church, Religious Organizations",Northwest District Association,1635 NW 19TH PORTLAND OREGON,-122.6910718,45.5346904
325,2211 NW FRONT,3,UNKNOWN,,,,,,1904,3.0,,Northwest District Association,2211 NW FRONT PORTLAND OREGON,-122.6908401,45.5387119
326,1800 NW 16TH AVE,3,FULL,,2005,"ASCE 31,OSSC",05-108845-CO,change of occupancy trigger,1900,2.0,,Northwest District Association,1800 NW 16TH AVE PORTLAND OREGON,-122.6873388,45.5359291
327,1626 NW THURMAN,3,UNKNOWN,,,,,,1914,1.0,,Northwest District Association,1626 NW THURMAN PORTLAND OREGON,-122.6882386,45.5354965
328,1800 NW UPSHUR,3,FULL,,2009,ASCE 41,07-184717-CO,change of occupancy trigger,1900,2.0,,Northwest District Association,1800 NW UPSHUR PORTLAND OREGON,-122.6900201,45.5361379
329,1801 NW UPSHUR,3,UNKNOWN,,,,,First elevated level anchored along one wall where opening was filled.  01-147236.,1895,7.0,,Northwest District Association,1801 NW UPSHUR PORTLAND OREGON,-122.6900665,45.5366164
330,2127 N ALBINA AV,3,UNKNOWN,,,,,,1906,4.0,,Eliot Neighborhood Association,2127 N ALBINA AV PORTLAND OREGON,-122.6756544,45.5383416
331,2262 N ALBINA AV,3,PARTIAL,Other,2003,FEMA 178,01-151093-CO,Braced north wall out of plane.,1910,3.0,,Eliot Neighborhood Association,2262 N ALBINA AV PORTLAND OREGON,-122.674548,45.5394555
332,2289 N INTERSTATE AV,3,UNKNOWN,,,,,,1912,2.0,,Eliot Neighborhood Association,2289 N INTERSTATE AV PORTLAND OREGON,-122.6755278,45.5392236
333,2410 N MISSISSIPPI AV,3,UNKNOWN,,,,,,1955,1.0,,Eliot Neighborhood Association,2410 N MISSISSIPPI AV PORTLAND OREGON,-122.6754708,45.5400641
334,2428 N MISSISSIPPI AV,3,UNKNOWN,,,,,,1892,1.0,,Eliot Neighborhood Association,2428 N MISSISSIPPI AV PORTLAND OREGON,-122.6754862,45.54049089999999
335,2428 N MISSISSIPPI AV,3,UNKNOWN,,,,,,1892,1.0,,Eliot Neighborhood Association,2428 N MISSISSIPPI AV PORTLAND OREGON,-122.6754862,45.54049089999999
336,700 N PAGE ST,3,UNKNOWN,,,,,,1914,1.0,,Eliot Neighborhood Association,700 N PAGE ST PORTLAND OREGON,-122.6737291,45.5395188
337,740 N RUSSELL ST,3,UNKNOWN,,,,,,1948,1.0,,Eliot Neighborhood Association,740 N RUSSELL ST PORTLAND OREGON,-122.67438,45.5408456
338,816-820 N RUSSELL ST,3,UNKNOWN,,,,,,1894,2.0,,Eliot Neighborhood Association,816-820 N RUSSELL ST PORTLAND OREGON,-122.6750084,45.54078759999999
339,836 N RUSSELL ST,3,UNKNOWN,,,,,system expired re-roof permit wall ties.,1915,2.0,,Eliot Neighborhood Association,836 N RUSSELL ST PORTLAND OREGON,-122.6754525,45.54075599999999
340,660 N THOMPSON ST,3,UNKNOWN,,,,,,1924,1.0,,Eliot Neighborhood Association,660 N THOMPSON ST PORTLAND OREGON,-122.6728945,45.5385261
341,603-677 N TILLAMOOK ST,3,UNKNOWN,,,,,,1924,4.0,,Eliot Neighborhood Association,603-677 N TILLAMOOK ST PORTLAND OREGON,-122.6726274,45.5380312
342,1462 NW NAITO PKWY,3,PARTIAL,Other,1995,UBC,95-000737-CO,Wall bracing and diaphragm anchorage in portions of building.,1945,1.0,,Pearl District Neighborhood Association,1462 NW NAITO PKWY PORTLAND OREGON,-122.681553,45.53446
343,2125 N FLINT AV,3,UNKNOWN,,,,,,1948,1.0,,Eliot Neighborhood Association,2125 N FLINT AV PORTLAND OREGON,-122.6690306,45.5384983
344,1910 N GANTENBEIN AVE,3,UNKNOWN,,,,,,1939,1.0,,Eliot Neighborhood Association,1910 N GANTENBEIN AVE PORTLAND OREGON,-122.6693803,45.5366996
345,400 N THOMPSON ST,3,UNKNOWN,,,,,,1926,1.0,,Eliot Neighborhood Association,400 N THOMPSON ST PORTLAND OREGON,-122.6706322,45.5384497
346,434 N TILLAMOOK ST,3,UNKNOWN,,,,,,1951,1.0,,Eliot Neighborhood Association,434 N TILLAMOOK ST PORTLAND OREGON,-122.6709845,45.537535
347,2125 N VANCOUVER AV,4,UNKNOWN,,,,,,1948,1.0,,Eliot Neighborhood Association,2125 N VANCOUVER AV PORTLAND OREGON,-122.6679807,45.5384568
348,1905 N WILLIAMS AV,3,UNKNOWN,,,,,,1950,1.0,,Eliot Neighborhood Association,1905 N WILLIAMS AV PORTLAND OREGON,-122.6670986,45.5367457
349,2242 N WILLIAMS AV,3,UNKNOWN,,,,,,1917,1.0,,Eliot Neighborhood Association,2242 N WILLIAMS AV PORTLAND OREGON,-122.6663833,45.5394003
350,2337 N WILLIAMS AV,3,UNKNOWN,,,,,,1952,1.0,,Eliot Neighborhood Association,2337 N WILLIAMS AV PORTLAND OREGON,-122.6668959,45.5400174
351,1734 NE 1ST AV,2,UNKNOWN,,,,,,1923,2.0,"Church, Religious Organizations",Eliot Neighborhood Association,1734 NE 1ST AV PORTLAND OREGON,-122.664426,45.5355469
352,1732 NE 2ND AV,3,UNKNOWN,,,,,,1925,1.0,,Eliot Neighborhood Association,1732 NE 2ND AV PORTLAND OREGON,-122.6633444,45.5356148
353,1835 NE 3RD AV,3,UNKNOWN,,,,,,1948,1.0,,Eliot Neighborhood Association,1835 NE 3RD AV PORTLAND OREGON,-122.6629587,45.5363666
354,228 NE BROADWAY ST,3,PARTIAL,Other,2016,"ASCE 31,OSSC",14-211434-CO ,see BD folder for upgrade information.,1920,2.0,,Lloyd District Community Association,228 NE BROADWAY ST PORTLAND OREGON,-122.6632406,45.5348991
355,241 NE HANCOCK ST,3,UNKNOWN,,,,,,1956,2.0,"Church, Religious Organizations",Eliot Neighborhood Association,241 NE HANCOCK ST PORTLAND OREGON,-122.6627304,45.5366864
356,2005 NE M L KING BLVD,3,UNKNOWN,,,,,,1938,1.0,,Eliot Neighborhood Association,2005 NE M L KING BLVD PORTLAND OREGON,-122.6620149,45.5372335
357,2021 NE M L KING BLVD,3,UNKNOWN,,,,,,1928,1.0,Alternative Energy,Eliot Neighborhood Association,2021 NE M L KING BLVD PORTLAND OREGON,-122.6620797,45.5374808
358,2033 NE M L KING BLVD,3,UNKNOWN,,,,,,1928,1.0,,Eliot Neighborhood Association,2033 NE M L KING BLVD PORTLAND OREGON,-122.6620116,45.5376585
359,2045 NE M L KING BLVD,3,FULL,,2002,UBC,01-165381-CO,"Appears annex updated in 2001 under 01-165381-CO.   Concrete portion not upgraded, but URM is.

Change of occupancy from F to B.",1937,1.0,,Eliot Neighborhood Association,2045 NE M L KING BLVD PORTLAND OREGON,-122.661912,45.537868
360,1808 NE 7TH AV,3,PARTIAL,Other,2016,"IBC 2012,Voluntary",15-124700-CO,Added some new LFRS where elements were weakened.,1928,1.0,Lease/Purchase Non-Profit or Public Body,Irvington Community Association,1808 NE 7TH AV PORTLAND OREGON,-122.658282,45.536001
361,823-825 NE BROADWAY ST,3,UNKNOWN,,,,,,1907,2.0,,Irvington Community Association,823-825 NE BROADWAY ST PORTLAND OREGON,-122.6569788,45.5352922
362,832 NE BROADWAY ST,3,UNKNOWN,,,,,,1952,1.0,,Lloyd District Community Association,832 NE BROADWAY ST PORTLAND OREGON,-122.656817,45.5348406
363,832 NE BROADWAY ST,3,UNKNOWN,,,,,,1952,1.0,,Lloyd District Community Association,832 NE BROADWAY ST PORTLAND OREGON,-122.656817,45.5348406
364,1301 NE BROADWAY ST,3,UNKNOWN,,,,,,1927,1.0,,Irvington Community Association,1301 NE BROADWAY ST PORTLAND OREGON,-122.6521626,45.5353041
365,609 NE SCHUYLER ST,3,UNKNOWN,,,,,,1925,1.0,,Eliot Neighborhood Association,609 NE SCHUYLER ST PORTLAND OREGON,-122.6593836,45.5359296
366,1422-1440 NE BROADWAY ST,3,PARTIAL,Other,1994,Voluntary,94-004198-CO,"Unclear extent, arch sheets only no structural in fiche.",1896,1.0,,Lloyd District Community Association,1422-1440 NE BROADWAY ST PORTLAND OREGON,-122.6509477,45.5348404
367,1829-1831 NE 19TH AVE,3,UNKNOWN,,,,,Fiche found under 1829-1831 NE Broadway that notes existing brick wall.,1906,2.0,,Irvington Community Association,1829-1831 NE 19TH AVE PORTLAND OREGON,-122.6468721,45.5352599
368,1829-1831 NE 19TH AVE,3,UNKNOWN,,,,,,1906,2.0,,Irvington Community Association,1829-1831 NE 19TH AVE PORTLAND OREGON,-122.6468721,45.5352599
369,2138 NE BROADWAY ST,3,UNKNOWN,,,,,,1908,2.0,,Sullivans Gulch Neighborhood Association,2138 NE BROADWAY ST PORTLAND OREGON,-122.6439927,45.5347775
370,2170 NE HANCOCK ST,3,PARTIAL,Other,Aug 2018,ASCE 41,14-219808-CO,,1919,3.0,,Irvington Community Association,2170 NE HANCOCK ST PORTLAND OREGON,-122.6432368,45.5361695
371,2823 NE BROADWAY ST,3,UNKNOWN,,,,,,1914,2.0,,Grant Park Neighborhood Association,2823 NE BROADWAY ST PORTLAND OREGON,-122.6361461,45.5353607
372,3001 NE BROADWAY ST,3,UNKNOWN,,,,,,1948,1.0,,Grant Park Neighborhood Association,3001 NE BROADWAY ST PORTLAND OREGON,-122.6347705,45.53542789999999
373,3201 NE BROADWAY ST,3,UNKNOWN,,,,,,1954,2.0,,Grant Park Neighborhood Association,3201 NE BROADWAY ST PORTLAND OREGON,-122.6330102,45.5353544
374,1928 NE 40TH,4,UNKNOWN,,,,,,1947,1.0,,Hollywood Neighborhood Association,1928 NE 40TH PORTLAND OREGON,-122.6217885,45.5369749
375,416 NE BRAZEE ST,3,FULL,,2007,IBC 2003,06-111610-CO,change of occupancy and 2nd story addition combined with bldg on MLK.,1938,1.0,,Eliot Neighborhood Association,416 NE BRAZEE ST PORTLAND OREGON,-122.660999,45.540102
376,3300 NE BROADWAY,3,UNKNOWN,,,,,,1918,3.0,,Grant Park Neighborhood Association,3300 NE BROADWAY PORTLAND OREGON,-122.6302375,45.5349884
377,3446 NE BROADWAY,3,UNKNOWN,,,,,,1910,1.0,,Grant Park Neighborhood Association,3446 NE BROADWAY PORTLAND OREGON,-122.6289591,45.5349866
378,3738 NE SANDY,3,UNKNOWN,,,,,,1926,1.0,,Hollywood Neighborhood Association,3738 NE SANDY PORTLAND OREGON,-122.624239,45.5340102
379,3800 NE SANDY BLVD,3,UNKNOWN,,,,,,1955,2.0,Cop Low Income Rental Housing,Hollywood Neighborhood Association,3800 NE SANDY BLVD PORTLAND OREGON,-122.6236279,45.5341448
380,3902 NE SANDY BLVD,3,UNKNOWN,,,"UBC,Voluntary",98-000208-CO,Permit expired.  Full upgrade.,1947,2.0,,Hollywood Neighborhood Association,3902 NE SANDY BLVD PORTLAND OREGON,-122.6230166,45.5345254
381,4638-4644 NE SANDY BLVD,3,UNKNOWN,,,,,,1911,2.0,,Grant Park Neighborhood Association,4638-4644 NE SANDY BLVD PORTLAND OREGON,-122.6152587,45.5379708
382,4810 NE SANDY BLVD,3,UNKNOWN,,,,,,1955,2.0,Alternative Energy,Rose City Park Neighborhood Association,4810 NE SANDY BLVD PORTLAND OREGON,-122.6137371,45.5383778
383,2112 NE 42ND AVE,3,UNKNOWN,,,,,,1959,1.0,,Grant Park Neighborhood Association,2112 NE 42ND AVE PORTLAND OREGON,-122.6195253,45.5379438
384,2334 NE 57TH AVE,2,PARTIAL,Other,1997,FEMA 178,97-001964-CO,"""ADA + seismic + gen renovations Rose City Elementary.""

MICROFILM NOTES:
""Partial seismic reinforcement, parapet bracing. Roof syst shall be anchored to the walls.""",1921,2.0,School Districts,Rose City Park Neighborhood Association,2334 NE 57TH AVE PORTLAND OREGON,-122.6036499,45.53946690000001
385,5200 NE SACRAMENTO,3,PARTIAL,Other,2007,"IBC 2006,Voluntary",07-115005-CO,"1) Add new interior plywood shear walls and thickened slab footings on the east, west (partial at west elev) and south sides of the building. The new shear walls will laterally support the roof diaphragm and keep the clay tile walls from falling inward.
2) The north elevation will have new store fronts and the existing concrete brick columns and spandrels will be replaced with simpson strong walls and wood framed spandrels. The existing north wall footings will be upgraded to a new continuous footing.""",1910,1.0,,Rose City Park Neighborhood Association,5200 NE SACRAMENTO PORTLAND OREGON,-122.6096621,45.5398455
386,5244-5246 NE SANDY BLVD,3,UNKNOWN,,,,,,1925,2.0,,Rose City Park Neighborhood Association,5244-5246 NE SANDY BLVD PORTLAND OREGON,-122.6090166,45.5402089
387,6433 NE Tillamook St,4,UNKNOWN,,,,,,1932,1.0,C.O.P./Parks & Recreation Leased by Taxable Tenant,Rose City Park Neighborhood Association,6433 NE Tillamook St PORTLAND OREGON,-122.5972002,45.5377485
388,6905 NE HANCOCK ST,4,UNKNOWN,,,,,,1950,1.0,,Madison South Neighborhood Association,6905 NE HANCOCK ST PORTLAND OREGON,-122.5922093,45.5362005
389,9255 NE HALSEY ST,3,UNKNOWN,,,,,,1953,1.0,"Literary, Benevolent, Charitable Organizations",Madison South Neighborhood Association,9255 NE HALSEY ST PORTLAND OREGON,-122.5681885,45.5338091
390,2502 NE 111TH AVE,4,UNKNOWN,,,,,,1949,1.0,,Parkrose Heights Association of Neighbors,2502 NE 111TH AVE PORTLAND OREGON,-122.5487606,45.5402158
391,11107-11121 NE HALSEY ST,3,UNKNOWN,,,,,,1955,1.0,,Parkrose Heights Association of Neighbors,11107-11121 NE HALSEY ST PORTLAND OREGON,-122.5487176,45.53368500000001
392,11923 NE HALSEY ST ,3,UNKNOWN,,,,,,1953,2.0,,Parkrose Heights Association of Neighbors,11923 NE HALSEY ST  PORTLAND OREGON,-122.540288,45.5338004
393,11923 NE HALSEY ST ,4,UNKNOWN,,,,,,1953,1.0,,Parkrose Heights Association of Neighbors,11923 NE HALSEY ST  PORTLAND OREGON,-122.540288,45.5338004
394,"2550 NW RALEIGH ""A""",3,UNKNOWN,,,,,,1949,1.0,Cities and Towns,Northwest District Association,"2550 NW RALEIGH ""A"" PORTLAND OREGON",-122.7036992,45.5334957
395,615 NW 20TH,3,UNKNOWN,,,,,,1896,2.0,"Literary, Benevolent, Charitable Organizations",Northwest District Association,615 NW 20TH PORTLAND OREGON,-122.6930973,45.5272571
396,733 NW 20TH,3,UNKNOWN,,,,,,1908,3.0,,Northwest District Association,733 NW 20TH PORTLAND OREGON,-122.6927572,45.5282911
397,915 NW 20TH,3,UNKNOWN,,,,,,1911,4.0,,Northwest District Association,915 NW 20TH PORTLAND OREGON,-122.6926409,45.5294803
398,931 NW 20TH,3,UNKNOWN,,,,,,1912,4.0,,Northwest District Association,931 NW 20TH PORTLAND OREGON,-122.692743,45.5297124
399,526-528 NW 21ST,3,REROOF,Reroof,Feb 2019,"OSSC,Voluntary",18-165538-CO,"Voluntary installation of wall-to-roof anchors, parapet bracing and chimney bracing (to 2014 OSSC) ",1910,6.0,,Northwest District Association,526-528 NW 21ST PORTLAND OREGON,-122.694145,45.5267984
400,721-727 NW 21ST,3,UNKNOWN,,,,,,1914,1.0,,Northwest District Association,721-727 NW 21ST PORTLAND OREGON,-122.6947869,45.5281448
401,735 NW 21ST,3,UNKNOWN,,,,,,1936,1.0,,Northwest District Association,735 NW 21ST PORTLAND OREGON,-122.6947188,45.5282989
402,803 NW 21ST,3,UNKNOWN,,,,,,1928,1.0,,Northwest District Association,803 NW 21ST PORTLAND OREGON,-122.694817,45.5285889
403,1025 NW 21ST,2,UNKNOWN,,,,,,1925,2.0,"Church, Religious Organizations",Northwest District Association,1025 NW 21ST PORTLAND OREGON,-122.6948468,45.5304162
404,1230 NW 21ST,3,UNKNOWN,,,,,,1912,3.0,,Northwest District Association,1230 NW 21ST PORTLAND OREGON,-122.6943404,45.5318737
405,1322-1338 NW 21ST AVE,3,PARTIAL,Other,2013,IBC 2009,13-153345-CO,Repair of URM wall pulling away from roof diaphragm.,1908,2.0,,Northwest District Association,1322-1338 NW 21ST AVE PORTLAND OREGON,-122.6943353,45.532433
406,1001-1007 NW 23RD AVE,3,UNKNOWN,,,,,97-004632-CO expired permit for parapet bracing.,1923,1.0,,Northwest District Association,1001-1007 NW 23RD AVE PORTLAND OREGON,-122.6989265,45.5299341
407,1121-1137 NW 23RD,3,UNKNOWN,,,,,,1923,1.0,,Northwest District Association,1121-1137 NW 23RD PORTLAND OREGON,-122.6989659,45.5309897
408,1323-1335 NW 23RD AVE,3,UNKNOWN,,,,,,1929,3.0,,Northwest District Association,1323-1335 NW 23RD AVE PORTLAND OREGON,-122.699079,45.532429
409,1334 NW 25TH,3,UNKNOWN,,,,,,1927,3.0,,Northwest District Association,1334 NW 25TH PORTLAND OREGON,-122.7024536,45.5324153
410,2164 NW HOYT,3,UNKNOWN,,,,,,1910,3.0,,Northwest District Association,2164 NW HOYT PORTLAND OREGON,-122.6957831,45.5268063
411,530 NW 23RD AVE ,3,PARTIAL,Other,1989,UBC,88-103560-CO,Wall anchorage.  1985 UBC Zone 2.,1912,5.0,,Northwest District Association,530 NW 23RD AVE  PORTLAND OREGON,-122.6982014,45.5267271
412,2166 NW IRVING,3,UNKNOWN,,,,,,1927,2.0,,Northwest District Association,2166 NW IRVING PORTLAND OREGON,-122.6959088,45.527491
413,2146 NW JOHNSON,3,UNKNOWN,,,,,,1926,3.0,,Northwest District Association,2146 NW JOHNSON PORTLAND OREGON,-122.6955153,45.52822829999999
414,836 NW 23RD AVE,3,UNKNOWN,,,,,,1911,1.0,,Northwest District Association,836 NW 23RD AVE PORTLAND OREGON,-122.6984241,45.5289116
415,2051 NW LOVEJOY,3,UNKNOWN,,,,,,1927,3.0,,Northwest District Association,2051 NW LOVEJOY PORTLAND OREGON,-122.6937589,45.5300664
416,2074 NW LOVEJOY ST,3,UNKNOWN,,,,,,1934,1.0,,Northwest District Association,2074 NW LOVEJOY ST PORTLAND OREGON,-122.6940759,45.5295947
417,2062 NW MARSHALL ST,3,UNKNOWN,,,,,,1927,2.0,,Northwest District Association,2062 NW MARSHALL ST PORTLAND OREGON,-122.6937937,45.5304252
418,2345 NW MARSHALL,3,UNKNOWN,,,,,,1926,3.0,,Northwest District Association,2345 NW MARSHALL PORTLAND OREGON,-122.6996585,45.5306811
419,2113-2115 NW NORTHRUP ST,3,UNKNOWN,,,,,,1949,1.0,,Northwest District Association,2113-2115 NW NORTHRUP ST PORTLAND OREGON,-122.6950423,45.5315009
420,2025 NW OVERTON ST,3,FULL,,2001,OSSC,01-137138-CO ,change of occupancy,1948,1.0,,Northwest District Association,2025 NW OVERTON ST PORTLAND OREGON,-122.6932078,45.5321744
421,2455 NW QUIMBY,3,UNKNOWN,,,,,,1926,3.0,,Northwest District Association,2455 NW QUIMBY PORTLAND OREGON,-122.7019693,45.5334754
422,916 NW 21ST AVE,3,UNKNOWN,,,,,,1929,1.0,,Northwest District Association,916 NW 21ST AVE PORTLAND OREGON,-122.6942898,45.5294849
423,1727 NW HOYT ST,3,UNKNOWN,,,,,,1919,3.0,,Northwest District Association,1727 NW HOYT ST PORTLAND OREGON,-122.6890788,45.5274158
424,726-734 NW 14TH AVE,3,UNKNOWN,,,,,,1905,4.0,,Pearl District Neighborhood Association,726-734 NW 14TH AVE PORTLAND OREGON,-122.6848558,45.5283956
425,1104 NW 15TH AVE,3,REROOF,Reroof,2000,UBC,99-003846-CO,,1908,4.0,,Pearl District Neighborhood Association,1104 NW 15TH AVE PORTLAND OREGON,-122.6860703,45.5309294
426,703 NW 16TH AVE,3,UNKNOWN,,,,,,1945,1.0,,Northwest District Association,703 NW 16TH AVE PORTLAND OREGON,-122.6876765,45.5280095
427,1111 NW 16TH AVE,3,REROOF,Reroof,1996,"UBC,Voluntary",96-000658-CO   96-000735-CO,"TRACS 96-000658-CO ""Phase I seismic grouting of parapet and wall roof connection."" 96-000735-CO ""Seismic tie of roof to walls and reseathing of roof. Groutin per previous permit."" MF: wall-to-roof-ties",1949,1.0,,Northwest District Association,1111 NW 16TH AVE PORTLAND OREGON,-122.6878286,45.5310028
428,1010 NW 17TH,3,UNKNOWN,,,,,,1911,4.0,,Northwest District Association,1010 NW 17TH PORTLAND OREGON,-122.688325,45.5302511
429,1150 NW 17TH AVE,3,UNKNOWN,,,,,,1950,1.0,,Northwest District Association,1150 NW 17TH AVE PORTLAND OREGON,-122.688303,45.5312618
430,1714 NW OVERTON ST,3,REROOF,Reroof,2008,ASCE 31,05-155109-CO,,1895,2.0,,Northwest District Association,1714 NW OVERTON ST PORTLAND OREGON,-122.6888753,45.5318182
431,811 NW 19TH,3,UNKNOWN,,,,,,1904,2.0,Historic Property 10 YR,Northwest District Association,811 NW 19TH PORTLAND OREGON,-122.6909863,45.52873599999999
432,811 NW 19TH,4,UNKNOWN,,,,,,1904,1.0,Historic Property 10 YR,Northwest District Association,811 NW 19TH PORTLAND OREGON,-122.6909863,45.52873599999999
433,829 NW 19TH AVE,3,UNKNOWN,,,,,,1890,2.0,,Northwest District Association,829 NW 19TH AVE PORTLAND OREGON,-122.6909528,45.5290139
434,1036 NW 19TH,3,UNKNOWN,,,,,,1912,5.0,,Northwest District Association,1036 NW 19TH PORTLAND OREGON,-122.6901641,45.53050030000001
435,1133 NW 19TH,3,UNKNOWN,,,,,,1912,3.0,,Northwest District Association,1133 NW 19TH PORTLAND OREGON,-122.6907144,45.5311867
436,1026 NW 20TH,3,UNKNOWN,,,,,,1909,5.0,,Northwest District Association,1026 NW 20TH PORTLAND OREGON,-122.6923218,45.5303014
437,1204 NW 20TH,3,UNKNOWN,,,,,,1911,4.0,,Northwest District Association,1204 NW 20TH PORTLAND OREGON,-122.6922626,45.53147149999999
438,1231 NW HOYT ST,3,UNKNOWN,,,,,,1906,4.0,,Pearl District Neighborhood Association,1231 NW HOYT ST PORTLAND OREGON,-122.6840087,45.5274185
439,1240 NW HOYT / 526 NW 13th Ave,3,FULL,,1996,UBC,96-001957-CO,Change of occupancy to condos (from B2 to R1).  Tied walls to diaphragms (plywood) new shear wall and steel frame.  UBC Zone 3,1900,3.0,,Pearl District Neighborhood Association,1240 NW HOYT / 526 NW 13th Ave PORTLAND OREGON,-122.6840809,45.5270048
440,1306 NW HOYT ST,3,PARTIAL,Other,2007,UBC,04-096032-CO & 89-106169-CO,1989 permit tied walls to floor diaphragms.  2004 permit braced parapets and tied walls to roof diaphragm.  2004 permit was to the 1997 UBC force levels as it was completing the phased seismic agreement from 1989,1907,4.0,,Pearl District Neighborhood Association,1306 NW HOYT ST PORTLAND OREGON,-122.6846015,45.5269406
441,1801 NW IRVING ST,3,REROOF,Reroof,2013,"IBC 2009,Voluntary",13-200106-CO,"plywood diaphragm, nailing, wall anchorage and parapet bracing.",1929,1.0,,Northwest District Association,1801 NW IRVING ST PORTLAND OREGON,-122.6896154,45.5279655
442,1929 NW IRVING,3,UNKNOWN,,,,,,1929,2.0,,Northwest District Association,1929 NW IRVING PORTLAND OREGON,-122.6910674,45.52797
443,1410 NW JOHNSON ST,3,UNKNOWN,,,,,,1909,3.0,,Pearl District Neighborhood Association,1410 NW JOHNSON ST PORTLAND OREGON,-122.685568,45.528357
444,1964 NW JOHNSON,3,UNKNOWN,,,,,,1927,3.0,,Northwest District Association,1964 NW JOHNSON PORTLAND OREGON,-122.6918421,45.52829699999999
445,1613 NW KEARNEY ST,3,PARTIAL,Other,1996,UBC,96-001423-CO,,1910,1.0,,Northwest District Association,1613 NW KEARNEY ST PORTLAND OREGON,-122.6880658,45.529529
446,1611 NW LOVEJOY,3,UNKNOWN,,,,,,1912,3.0,,Northwest District Association,1611 NW LOVEJOY PORTLAND OREGON,-122.6879031,45.5301421
447,1624 NW LOVEJOY ST,3,UNKNOWN,Unknown,2003,UBC,03-178456-CO,Permit status is under inspection,1910,2.0,,Northwest District Association,1624 NW LOVEJOY ST PORTLAND OREGON,-122.687972,45.52967590000001
448,1313 NW MARSHALL ST,3,FULL,,2006,"UBC,Voluntary",98-003857-CO / 99-000036-CO / 04-052783-CO,"The plans/fiche for the 98 permit reference the 99 permit for structural upgrade info.  The 99 permit has expired and no upgrade information is in the micro fiche.  However, the 04 permit references prior upgrade structural information.",1888,3.0,Lease/Purchase Non-Profit or Public Body,Pearl District Neighborhood Association,1313 NW MARSHALL ST PORTLAND OREGON,-122.6851967,45.5309427
449,1313 NW MARSHALL ST,3,FULL,,2006,"UBC,Voluntary",98-003857-CO / 99-000036-CO / 04-052783-CO,"The plans/fiche for the 98 permit reference the 99 permit for structural upgrade info.  The 99 permit has expired and no upgrade information is in the micro fiche.  However, the 04 permit references prior upgrade structural information.",1888,3.0,Lease/Purchase Non-Profit or Public Body,Pearl District Neighborhood Association,1313 NW MARSHALL ST PORTLAND OREGON,-122.6851967,45.5309427
